State,City,Street,Zipcode,Bedroom,Bathroom,Area,PPSq,LotArea,MarketEstimate,RentEstimate,Latitude,Longitude,ListedPrice,Price Difference,Overpriced,Price per Square Ft,Zip,Predicted Listing,Type of Pricing,Zipcode_cleaned
AL,Saraland,Scott Dr,36571.0,4.0,2.0,1614.0,148.636926889715,0.3805,240600.0,1599.0,30.819534,-88.09596,239900.0,-700.0,False,148.636926889715,36571.0,233378.6960855993,Fair,36571.0
AL,Chelsea,Mallet Way,35043.0,3.0,3.0,2224.0,150.6294964028777,0.26,336200.0,1932.0,33.357986,-86.6087,335000.0,-1200.0,False,150.6294964028777,35043.0,320917.04190303956,Fair,35043.0
AL,Montgomery,Brampton Ln,36117.0,3.0,2.0,1564.0,96.54731457800511,0.2,150500.0,1385.0,32.372746,-86.165115,151000.0,500.0,False,96.54731457800511,36117.0,141096.18037786157,Fair,36117.0
AL,Boaz,Greenwood Ave,35957.0,3.0,2.0,1717.0,139.1962725684333,0.38,238400.0,2125.0,34.210014,-86.13669,239000.0,600.0,False,139.1962725684333,35957.0,252515.85836510308,Fair,35957.0
AL,Albertville,Lexington Ave,35950.0,3.0,2.0,1674.0,149.2831541218638,0.3443526170798898,248000.0,1597.0,34.2754,-86.21792,249900.0,1900.0,False,149.2831541218638,35950.0,238423.7193627287,Fair,35950.0
AL,Mobile,Emerald Dr W,36619.0,3.0,3.0,2190.0,134.70319634703196,0.3443,294000.0,1900.0,30.595074,-88.20307,295000.0,1000.0,False,134.70319634703196,36619.0,292392.43043996254,Fair,36619.0
AL,Mobile,Stanton Rd,36607.0,3.0,2.0,1194.0,125.6281407035176,0.1971,148300.0,1200.0,30.693125,-88.087814,150000.0,1700.0,False,125.62814070351759,36607.0,152651.2258187495,Fair,36607.0
AL,Montgomery,Crestview Ave,36109.0,3.0,2.0,2196.0,76.95810564663023,0.61,124700.0,1250.0,32.39595,-86.269714,169000.0,44300.0,True,76.95810564663023,36109.0,180009.63576373865,Fair,36109.0
AL,Semmes,Park Ave,36575.0,3.0,1.0,1100.0,145.45454545454547,1.0,158200.0,1099.0,30.774414,-88.257675,160000.0,1800.0,False,145.45454545454547,36575.0,174610.47150788305,Fair,36575.0
AL,Mulga,Morningside Dr,35118.0,3.0,2.0,1410.0,56.66666666666666,0.34,78300.0,1369.0,33.524075,-87.00953,79900.0,1600.0,False,56.666666666666664,35118.0,83938.24746518073,Fair,35118.0
AL,Mobile,Driver St,36617.0,6.0,4.0,3036.0,54.01844532279315,0.141,154100.0,2500.0,30.702614,-88.08904,164000.0,9900.0,False,54.01844532279315,36617.0,256783.668390249,Underpriced,36617.0
AL,Montgomery,Narrow Lane Rd,36116.0,3.0,3.0,3693.0,54.15651232060655,6.9,188300.0,1201.0,32.273514,-86.25934,200000.0,11700.0,False,54.15651232060655,36116.0,228243.1393997188,Underpriced,36116.0
AL,Huntsville,Club View Dr NW,35810.0,3.0,2.0,1532.0,142.95039164490862,0.2641873278236915,218300.0,1535.0,34.750492,-86.62149,219000.0,700.0,False,142.95039164490862,35810.0,215587.66052326577,Fair,35810.0
AL,Fairhope,Fairfax Dr,36532.0,4.0,3.0,2410.0,170.04149377593362,0.27,407800.0,2550.0,30.504227,-87.874535,409800.0,2000.0,False,170.04149377593362,36532.0,422168.1365342449,Fair,36532.0
AL,Phenix City,13th St,36867.0,3.0,2.0,1188.0,126.26262626262626,0.17,148400.0,1200.0,32.472347,-85.009224,150000.0,1600.0,False,126.26262626262626,36867.0,152651.2258187495,Fair,36867.0
AL,Meridianville,Kingsford St,35759.0,3.0,2.0,1679.0,169.74389517569983,0.15,284000.0,1749.0,34.87313,-86.58187,285000.0,1000.0,False,169.74389517569983,35759.0,274157.03186641185,Fair,35759.0
AL,Remlap,Cedar Ln,35133.0,2.0,2.0,1600.0,112.5,4.87,178600.0,1495.0,33.78361,-86.630005,180000.0,1400.0,False,112.5,35133.0,178301.7035894779,Fair,35133.0
AL,Mobile,Green Forest Ct,36618.0,3.0,2.0,1296.0,135.03086419753086,0.1016,170100.0,1566.0,30.717815,-88.147285,175000.0,4900.0,False,135.03086419753086,36618.0,171588.15961463246,Fair,36618.0
AL,Fort Mitchell,Ottawa Trl,36856.0,5.0,4.0,3051.0,102.2615535889872,0.35,307100.0,2100.0,32.27377,-84.99826,312000.0,4900.0,False,102.26155358898721,36856.0,314333.64636629395,Fair,36856.0
AL,Mobile,Montfort Rd S,36608.0,4.0,5.0,1598.0,93.86733416770964,0.426,143300.0,1500.0,30.70528,-88.17934,150000.0,6700.0,False,93.86733416770964,36608.0,154553.40464019382,Fair,36608.0
AL,Haleyville,25th St,35565.0,3.0,2.0,1450.0,124.06896551724138,0.3856749311294766,173600.0,1050.0,34.23136,-87.618965,179900.0,6300.0,False,124.06896551724138,35565.0,173120.18996753887,Fair,35565.0
AL,Dothan,Woodland Dr,36301.0,3.0,1.0,1458.0,98.079561042524,0.3537649219467401,141000.0,1385.0,31.201424,-85.413605,143000.0,2000.0,False,98.079561042524,36301.0,138701.64910870316,Fair,36301.0
AL,Dothan,Frankfort Dr,36305.0,3.0,2.0,1375.0,145.38181818181818,0.25,205400.0,1529.0,31.2081,-85.44741,199900.0,-5500.0,False,145.38181818181818,36305.0,204380.5849852583,Fair,36305.0
AL,Huntsville,W Tuliptree Dr SE,35803.0,4.0,2.0,1999.0,152.57628814407204,0.29,304800.0,1800.0,34.63312,-86.536224,305000.0,200.0,False,152.57628814407204,35803.0,273120.4842111693,Overpriced,35803.0
AL,Foley,E Myrtle Ave,36535.0,3.0,2.0,1752.0,165.46803652968038,26.0,285800.0,1994.0,30.404478,-87.67821,289900.0,4100.0,False,165.46803652968038,36535.0,284535.0152100683,Fair,36535.0
AL,Alabaster,Blue Spring Pl,35007.0,3.0,3.0,1880.0,148.88297872340425,0.27,283600.0,1681.0,33.22804,-86.83084,279900.0,-3700.0,False,148.88297872340425,35007.0,269796.9494554919,Fair,35007.0
AL,Chelsea,Highway 440,35043.0,3.0,2.0,1425.0,195.7894736842105,1.82,280200.0,1425.0,33.354427,-86.59509,279000.0,-1200.0,False,195.78947368421052,35043.0,266978.4450837449,Fair,35043.0
AL,Madison,Tynedale Dr,35756.0,4.0,3.0,2354.0,155.0552251486831,0.21,364700.0,2037.0,34.69121,-86.78906,365000.0,300.0,False,155.0552251486831,35756.0,342721.0377566597,Overpriced,35756.0
AL,Mobile,Laurel St,36604.0,3.0,1.0,1490.0,157.71812080536913,0.1576,235000.0,1400.0,30.681978,-88.07807,235000.0,0.0,False,157.71812080536913,36604.0,231291.26335334478,Fair,36604.0
AL,Huntsville,Hickory Hill Ln SE,35802.0,4.0,3.0,2875.0,139.09565217391304,0.4599999999999999,382400.0,2262.0,34.660194,-86.5568,399900.0,17500.0,False,139.09565217391304,35802.0,366582.128737373,Overpriced,35802.0
AL,Alabaster,Hickory Hills Dr,35007.0,3.0,2.0,1808.0,132.7433628318584,0.47,239400.0,1657.0,33.257935,-86.80834,240000.0,600.0,False,132.7433628318584,35007.0,221434.53790617522,Fair,35007.0
AL,Hazel Green,Will Holt Rd,35750.0,3.0,2.0,1976.0,68.31983805668017,0.5599999999999999,125400.0,847.0,34.97667,-86.65006,135000.0,9600.0,False,68.31983805668017,35750.0,120041.57893898121,Fair,35750.0
AL,Mobile,Macy Pl,36604.0,3.0,2.0,2455.0,199.18533604887983,0.1739,488700.0,2578.0,30.685225,-88.0755,489000.0,300.0,False,199.18533604887983,36604.0,453316.28525133996,Overpriced,36604.0
AL,Bay Minette,Tanner Ln,36507.0,3.0,2.0,1859.0,112.9101667563206,3.0,194500.0,1875.0,30.810877,-87.80625,209900.0,15400.0,False,112.9101667563206,36507.0,200288.12882495607,Fair,36507.0
AL,Gadsden,Edison Ave,35904.0,3.0,3.0,2542.0,137.6475216365067,1.43,347100.0,1800.0,34.057,-86.01735,349900.0,2800.0,False,137.6475216365067,35904.0,291011.8055825878,Overpriced,35904.0
AL,Duncanville,Colonial Dr,35456.0,4.0,3.0,3556.0,50.59055118110236,2.0,182000.0,1814.0,33.118427,-87.47632,179900.0,-2100.0,False,50.59055118110236,35456.0,229313.45055198862,Underpriced,35456.0
AL,Huntsville,Craft Ave NW,35816.0,3.0,2.0,1320.0,135.6060606060606,1.0,166800.0,1594.0,34.7451,-86.612724,179000.0,12200.0,False,135.6060606060606,35816.0,171588.15961463246,Fair,35816.0
AL,Mobile,N Gulf Field Dr,36605.0,5.0,4.0,1505.0,86.31229235880399,0.1836,127600.0,1099.0,30.6478,-88.08221,129900.0,2300.0,False,86.31229235880399,36605.0,141135.73156134895,Fair,36605.0
AL,Mobile,Middle Ring Rd,36608.0,4.0,2.0,1034.0,117.98839458413929,0.1825,120700.0,1300.0,30.71276,-88.191345,122000.0,1300.0,False,117.98839458413927,36608.0,111480.67059809022,Fair,36608.0
AL,Dothan,Meadowbrook Dr,36303.0,3.0,2.0,1664.0,105.16826923076924,0.0,165000.0,1435.0,31.240427,-85.43404,175000.0,10000.0,False,105.16826923076923,36303.0,177480.30326661686,Fair,36303.0
AL,Dothan,Foxrun Trl,36303.0,5.0,3.0,2472.0,108.8187702265372,0.4579889807162534,263800.0,1999.0,31.257858,-85.4552,269000.0,5200.0,False,108.81877022653721,36303.0,270315.11586866423,Fair,36303.0
AL,Helena,Southwind Dr,35080.0,3.0,2.0,2190.0,125.47945205479452,0.4,279600.0,1648.0,33.27857,-86.830025,274800.0,-4800.0,False,125.47945205479452,35080.0,266619.01639308,Fair,35080.0
AL,Gulf Shores,Muscogee Rd,36542.0,3.0,3.0,1265.0,333.59683794466406,0.1435,404700.0,2400.0,30.232487,-87.977135,422000.0,17300.0,False,333.59683794466406,36542.0,420700.9911722499,Fair,36542.0
AL,Mobile,Hamilton Creek Dr N,36695.0,3.0,3.0,1888.0,132.36228813559322,0.4006999999999999,250400.0,1800.0,30.635536,-88.270996,249900.0,-500.0,False,132.36228813559322,36695.0,238740.1871785696,Fair,36695.0
AL,Mobile,General Lee Ave,36619.0,4.0,2.0,1807.0,138.29551743220807,0.3432,197700.0,1650.0,30.582676,-88.18447,249900.0,52200.0,True,138.29551743220807,36619.0,230592.13134217716,Fair,36619.0
AL,Madison,Mill Walk Ct,35758.0,5.0,5.0,3923.0,172.03670660209025,0.4,674500.0,4140.0,34.700047,-86.76704,674900.0,400.0,False,172.03670660209025,35758.0,653341.7005115243,Overpriced,35758.0
AL,Foley,E Myrtle Ave,36535.0,3.0,2.0,1361.0,176.3409257898604,0.2329999999999999,237500.0,1800.0,30.404423,-87.67775,240000.0,2500.0,False,176.3409257898604,36535.0,238605.84249489233,Fair,36535.0
AL,Mobile,Dixie Ln,36693.0,3.0,2.0,1319.0,125.01895375284306,0.2307999999999999,165200.0,1200.0,30.637695,-88.179756,164900.0,-300.0,False,125.01895375284306,36693.0,168472.21277007685,Fair,36693.0
